Frequency (Hz)	|	Gain (dB)
________________________________________
0.000000	|	-29.619335
1.000000	|	-29.212353
2.000000	|	-29.453709
3.000000	|	-29.110261
4.000000	|	-28.097932
5.000000	|	-27.750532
6.000000	|	-27.703812
7.000000	|	-26.301394
8.000000	|	-25.773386
9.000000	|	-25.733994
10.000000	|	-25.285819
11.000000	|	-24.440722
12.000000	|	-24.008873
13.000000	|	-22.919696
14.000000	|	-21.503080
15.000000	|	-20.071969
16.000000	|	-20.334038
17.000000	|	-20.150488
18.000000	|	-20.307007
19.000000	|	-19.616122
20.000000	|	-19.089982
21.000000	|	-17.859077
22.000000	|	-15.506678
23.000000	|	-15.819676
24.000000	|	-14.812863
25.000000	|	-12.689781
26.000000	|	-12.294070
27.000000	|	-11.511125
28.000000	|	-11.668110
29.000000	|	-8.205256
30.000000	|	-6.287074
31.000000	|	-7.517043
32.000000	|	-8.648380
33.000000	|	-6.755371
34.000000	|	-6.727091
35.000000	|	-5.327555
36.000000	|	-5.274865
37.000000	|	-4.873607
38.000000	|	-5.106923
39.000000	|	-4.611949
40.000000	|	-4.204708
41.000000	|	-4.449937
42.000000	|	-4.683458
43.000000	|	-3.191909
44.000000	|	-1.602777
45.000000	|	-0.046775
46.000000	|	-1.475006
47.000000	|	-1.343963
48.000000	|	-2.153808
49.000000	|	-1.583661
50.000000	|	-0.998195
51.000000	|	-1.043679
52.000000	|	-0.849811
53.000000	|	-0.318602
54.000000	|	-0.697731
55.000000	|	-1.791539
56.000000	|	-1.967523
57.000000	|	-2.198017
58.000000	|	-2.396202
59.000000	|	-1.493400
60.000000	|	0.000000
61.000000	|	-2.655261
62.000000	|	-3.035673
63.000000	|	-2.920867
64.000000	|	-3.131336
65.000000	|	-3.719339
66.000000	|	-2.167528
67.000000	|	-1.435668
68.000000	|	-2.956908
69.000000	|	-4.763592
70.000000	|	-4.084500
71.000000	|	-2.949757
72.000000	|	-4.027960
73.000000	|	-4.930071
74.000000	|	-4.237612
75.000000	|	-3.995180
76.000000	|	-4.343194
77.000000	|	-5.474724
78.000000	|	-5.113553
79.000000	|	-4.389553
80.000000	|	-3.260056
81.000000	|	-4.732259
82.000000	|	-5.108559
83.000000	|	-5.591762
84.000000	|	-5.075756
85.000000	|	-6.393092
86.000000	|	-6.007583
87.000000	|	-6.331963
88.000000	|	-4.411633
89.000000	|	-3.074120
90.000000	|	-2.043255
91.000000	|	-4.427861
92.000000	|	-5.686217
93.000000	|	-6.231352
94.000000	|	-6.046912
95.000000	|	-5.450920
96.000000	|	-6.342666
97.000000	|	-7.251518
98.000000	|	-6.986457
99.000000	|	-6.709242
100.000000	|	-5.272964
101.000000	|	-4.120169
102.000000	|	-5.408109
103.000000	|	-6.633860
104.000000	|	-7.097384
105.000000	|	-6.977639
106.000000	|	-5.794950
107.000000	|	-5.509772
108.000000	|	-7.102761
109.000000	|	-8.412885
110.000000	|	-8.590734
111.000000	|	-8.380330
112.000000	|	-8.048759
113.000000	|	-7.622365
114.000000	|	-8.379089
115.000000	|	-8.686958
116.000000	|	-9.286571
117.000000	|	-8.871209
118.000000	|	-8.239679
119.000000	|	-6.012151
120.000000	|	-5.249178
121.000000	|	-6.299955
122.000000	|	-8.774892
123.000000	|	-9.470704
124.000000	|	-10.444525
125.000000	|	-9.777273
126.000000	|	-9.542440
127.000000	|	-8.554801
128.000000	|	-10.104568
129.000000	|	-9.848079
130.000000	|	-10.667845
131.000000	|	-9.597062
132.000000	|	-9.234830
133.000000	|	-7.918865
134.000000	|	-6.551847
135.000000	|	-6.497485
136.000000	|	-8.671609
137.000000	|	-9.244382
138.000000	|	-10.105087
139.000000	|	-10.109765
140.000000	|	-10.066205
141.000000	|	-9.381059
142.000000	|	-9.496298
143.000000	|	-8.177486
144.000000	|	-10.254409
145.000000	|	-10.640220
146.000000	|	-10.920119
147.000000	|	-11.252802
148.000000	|	-11.002582
149.000000	|	-10.079600
150.000000	|	-8.670819
151.000000	|	-7.948990
152.000000	|	-8.567229
153.000000	|	-10.878855
154.000000	|	-11.036287
155.000000	|	-11.644433
156.000000	|	-11.570036
157.000000	|	-11.274266
158.000000	|	-10.048781
159.000000	|	-8.428112
160.000000	|	-7.286901
161.000000	|	-7.941447
162.000000	|	-10.144331
163.000000	|	-11.241435
164.000000	|	-11.976650
165.000000	|	-11.730698
166.000000	|	-12.593296
167.000000	|	-12.610368
168.000000	|	-12.032933
169.000000	|	-11.606635
170.000000	|	-11.389224
171.000000	|	-12.359041
172.000000	|	-12.733814
173.000000	|	-13.499005
174.000000	|	-12.418363
175.000000	|	-12.752638
176.000000	|	-11.249558
177.000000	|	-10.941974
178.000000	|	-9.278068
179.000000	|	-7.742150
180.000000	|	-6.190785
181.000000	|	-7.725923
182.000000	|	-9.073986
183.000000	|	-10.993789
184.000000	|	-11.819058
