Frequency (Hz)	|	Gain (dB)
________________________________________
0.000000	|	-33.683128
1.000000	|	-33.683128
2.000000	|	-33.683128
3.000000	|	-33.683128
4.000000	|	-33.683128
5.000000	|	-33.683123
6.000000	|	-33.683113
7.000000	|	-33.683073
8.000000	|	-33.682421
9.000000	|	-33.679813
10.000000	|	-33.674599
11.000000	|	-33.664169
12.000000	|	-33.497297
13.000000	|	-33.163551
14.000000	|	-31.818029
15.000000	|	-31.795853
16.000000	|	-30.913143
17.000000	|	-30.589236
18.000000	|	-30.265329
19.000000	|	-29.113754
20.000000	|	-28.739464
21.000000	|	-27.884080
22.000000	|	-27.051724
23.000000	|	-25.893340
24.000000	|	-24.610037
25.000000	|	-22.216401
26.000000	|	-21.135893
27.000000	|	-19.249332
28.000000	|	-18.627885
29.000000	|	-16.151371
30.000000	|	-15.620138
31.000000	|	-15.088905
32.000000	|	-12.818895
33.000000	|	-12.159869
34.000000	|	-11.500844
35.000000	|	-8.569202
36.000000	|	-8.558561
37.000000	|	-7.005551
38.000000	|	-6.054674
39.000000	|	-5.439309
40.000000	|	-4.524261
41.000000	|	-4.503839
42.000000	|	-4.483416
43.000000	|	-3.671641
44.000000	|	-3.265754
45.000000	|	-3.062810
46.000000	|	-3.059639
47.000000	|	-3.059540
48.000000	|	-3.059537
49.000000	|	-3.059537
50.000000	|	-3.059537
51.000000	|	-3.059537
52.000000	|	-3.059537
53.000000	|	-3.059537
54.000000	|	-3.059537
55.000000	|	-3.059537
56.000000	|	-3.059537
57.000000	|	-3.059671
58.000000	|	-3.076876
59.000000	|	-3.214518
60.000000	|	-3.825723
61.000000	|	-4.436928
62.000000	|	-4.488838
63.000000	|	-4.540748
64.000000	|	-4.690976
65.000000	|	-4.740421
66.000000	|	-4.789867
67.000000	|	-5.253940
68.000000	|	-5.439345
69.000000	|	-5.624750
70.000000	|	-5.642699
71.000000	|	-5.660647
72.000000	|	-5.789807
73.000000	|	-5.911277
74.000000	|	-6.032747
75.000000	|	-6.167781
76.000000	|	-6.292170
77.000000	|	-6.433566
78.000000	|	-6.574962
79.000000	|	-6.997135
80.000000	|	-7.193004
81.000000	|	-7.388873
82.000000	|	-7.408281
83.000000	|	-7.427688
84.000000	|	-7.799379
85.000000	|	-7.815262
86.000000	|	-7.816838
87.000000	|	-7.818414
88.000000	|	-7.871843
89.000000	|	-7.925272
90.000000	|	-8.036799
91.000000	|	-8.262576
92.000000	|	-8.416654
93.000000	|	-8.420631
94.000000	|	-8.424609
95.000000	|	-8.656937
96.000000	|	-8.762599
97.000000	|	-8.804927
98.000000	|	-8.847256
99.000000	|	-8.855580
100.000000	|	-8.863905
101.000000	|	-8.883184
102.000000	|	-9.053274
103.000000	|	-9.323075
104.000000	|	-9.862676
105.000000	|	-9.977045
106.000000	|	-9.978870
107.000000	|	-9.980695
108.000000	|	-10.081050
109.000000	|	-10.181406
110.000000	|	-10.387569
111.000000	|	-10.476616
112.000000	|	-10.514122
113.000000	|	-10.551627
114.000000	|	-10.826699
115.000000	|	-11.101771
116.000000	|	-11.103417
117.000000	|	-11.106709
118.000000	|	-11.108355
119.000000	|	-11.165385
120.000000	|	-11.279446
121.000000	|	-11.336476
122.000000	|	-11.543050
123.000000	|	-11.637978
124.000000	|	-11.681262
125.000000	|	-11.724546
126.000000	|	-11.865202
127.000000	|	-11.899503
128.000000	|	-11.933803
129.000000	|	-12.188983
130.000000	|	-12.316543
131.000000	|	-12.324512
132.000000	|	-12.328478
133.000000	|	-12.330457
134.000000	|	-12.330701
135.000000	|	-12.330731
136.000000	|	-12.330791
137.000000	|	-12.330791
138.000000	|	-12.330792
139.000000	|	-12.330792
140.000000	|	-12.330794
141.000000	|	-12.330796
142.000000	|	-12.330805
143.000000	|	-12.330810
144.000000	|	-12.330843
145.000000	|	-12.330977
146.000000	|	-12.331044
147.000000	|	-12.331314
148.000000	|	-12.331853
149.000000	|	-12.340527
150.000000	|	-12.375229
151.000000	|	-12.530173
152.000000	|	-12.887279
153.000000	|	-13.084912
154.000000	|	-13.282544
155.000000	|	-13.365170
156.000000	|	-13.386099
157.000000	|	-13.427959
158.000000	|	-13.448888
159.000000	|	-13.496496
160.000000	|	-13.591711
161.000000	|	-13.639318
162.000000	|	-13.724681
163.000000	|	-13.895407
164.000000	|	-13.916748
165.000000	|	-13.959429
166.000000	|	-13.959596
167.000000	|	-13.959617
168.000000	|	-13.959619
169.000000	|	-13.959621
170.000000	|	-13.959621
171.000000	|	-13.959621
172.000000	|	-13.959621
173.000000	|	-13.959621
174.000000	|	-13.959621
175.000000	|	-13.959621
176.000000	|	-13.959621
177.000000	|	-13.959621
178.000000	|	-13.959621
179.000000	|	-13.959619
180.000000	|	-13.959263
181.000000	|	-13.959087
182.000000	|	-13.959085
183.000000	|	-13.959085
184.000000	|	-13.959085
185.000000	|	-13.959085
186.000000	|	-13.959085
187.000000	|	-13.959085
188.000000	|	-13.959085
189.000000	|	-13.959085
190.000000	|	-13.959652
191.000000	|	-13.959935
192.000000	|	-13.961068
193.000000	|	-14.059786
194.000000	|	-14.157352
195.000000	|	-14.161085
196.000000	|	-14.162875
197.000000	|	-14.166453
198.000000	|	-14.166518
199.000000	|	-14.166646
200.000000	|	-14.166711
201.000000	|	-14.172764
202.000000	|	-14.178818
203.000000	|	-14.352336
204.000000	|	-14.546362
205.000000	|	-14.747721
206.000000	|	-14.847719
207.000000	|	-14.947656
208.000000	|	-14.953801
209.000000	|	-14.956874
210.000000	|	-14.957258
211.000000	|	-14.957258
212.000000	|	-14.957258
213.000000	|	-14.957258
214.000000	|	-14.957258
215.000000	|	-14.957258
216.000000	|	-14.957258
217.000000	|	-14.957258
218.000000	|	-14.957258
219.000000	|	-14.957257
220.000000	|	-14.957238
221.000000	|	-14.957161
222.000000	|	-14.954684
223.000000	|	-14.949729
224.000000	|	-14.929889
225.000000	|	-14.769700
226.000000	|	-14.764969
227.000000	|	-14.764969
228.000000	|	-14.764969
229.000000	|	-14.764969
230.000000	|	-14.764969
231.000000	|	-14.764969
232.000000	|	-14.764969
233.000000	|	-14.764969
234.000000	|	-14.764969
235.000000	|	-14.764969
236.000000	|	-14.764969
237.000000	|	-14.764992
238.000000	|	-14.767892
239.000000	|	-14.773692
240.000000	|	-14.796892
241.000000	|	-14.820092
242.000000	|	-14.912891
243.000000	|	-15.098626
244.000000	|	-15.841659
