Frequency (Hz)	|	Gain (dB)
________________________________________
0.000000	|	-16.165357
1.000000	|	-14.821606
2.000000	|	-11.524271
3.000000	|	-9.875603
4.000000	|	-9.051269
5.000000	|	-8.639102
6.000000	|	-8.433019
7.000000	|	-8.329978
8.000000	|	-8.287569
9.000000	|	-8.286954
10.000000	|	-8.286951
11.000000	|	-8.286949
12.000000	|	-8.286949
13.000000	|	-8.286949
14.000000	|	-8.286948
15.000000	|	-8.286941
16.000000	|	-8.286926
17.000000	|	-8.286918
18.000000	|	-8.286855
19.000000	|	-8.286586
20.000000	|	-8.281466
21.000000	|	-8.278906
22.000000	|	-8.268565
23.000000	|	-8.258211
24.000000	|	-8.216795
25.000000	|	-7.884215
26.000000	|	-7.718406
27.000000	|	-7.552720
28.000000	|	-7.532077
29.000000	|	-7.490789
30.000000	|	-7.485664
31.000000	|	-7.480867
32.000000	|	-7.480002
33.000000	|	-7.479582
34.000000	|	-7.479378
35.000000	|	-7.479323
36.000000	|	-7.479309
37.000000	|	-7.479309
38.000000	|	-7.479309
39.000000	|	-7.479309
40.000000	|	-7.479309
41.000000	|	-7.479309
42.000000	|	-7.479309
43.000000	|	-7.479309
44.000000	|	-7.479309
45.000000	|	-7.479309
46.000000	|	-7.479309
47.000000	|	-7.479309
48.000000	|	-7.479366
49.000000	|	-7.479394
50.000000	|	-7.479508
51.000000	|	-7.483142
52.000000	|	-7.512238
53.000000	|	-7.541337
54.000000	|	-8.020872
55.000000	|	-9.189705
56.000000	|	-9.481913
57.000000	|	-9.554965
58.000000	|	-9.559530
59.000000	|	-9.559531
60.000000	|	-9.559531
61.000000	|	-9.559531
62.000000	|	-9.559531
63.000000	|	-9.559531
64.000000	|	-9.559531
65.000000	|	-9.559531
66.000000	|	-9.559531
67.000000	|	-9.559531
68.000000	|	-9.559531
69.000000	|	-9.559519
70.000000	|	-9.547032
71.000000	|	-9.147433
72.000000	|	-9.053293
73.000000	|	-9.047414
74.000000	|	-9.035656
75.000000	|	-9.034925
76.000000	|	-9.034880
77.000000	|	-9.034858
78.000000	|	-9.034857
79.000000	|	-9.034856
80.000000	|	-9.034856
81.000000	|	-9.034856
82.000000	|	-9.034856
83.000000	|	-9.034856
84.000000	|	-9.034855
85.000000	|	-9.034837
86.000000	|	-9.034755
87.000000	|	-9.034713
88.000000	|	-9.034546
89.000000	|	-9.034379
90.000000	|	-9.033703
91.000000	|	-9.011871
92.000000	|	-9.011225
93.000000	|	-9.009932
94.000000	|	-9.009285
95.000000	|	-9.008474
96.000000	|	-9.006853
97.000000	|	-9.006042
98.000000	|	-8.999999
99.000000	|	-8.918336
100.000000	|	-8.552574
101.000000	|	-8.369693
102.000000	|	-7.997519
103.000000	|	-7.950998
104.000000	|	-7.949544
105.000000	|	-7.948817
106.000000	|	-7.948454
107.000000	|	-7.948452
108.000000	|	-7.948452
109.000000	|	-7.948452
110.000000	|	-7.948452
111.000000	|	-7.948452
112.000000	|	-7.948452
113.000000	|	-7.948452
114.000000	|	-7.948452
115.000000	|	-7.948452
116.000000	|	-7.948452
117.000000	|	-7.948846
118.000000	|	-8.049768
119.000000	|	-8.150690
120.000000	|	-8.163305
121.000000	|	-8.188535
122.000000	|	-8.191688
123.000000	|	-8.191885
124.000000	|	-8.192279
125.000000	|	-8.192328
126.000000	|	-8.192353
127.000000	|	-8.192365
128.000000	|	-8.192371
129.000000	|	-8.192371
130.000000	|	-8.192372
131.000000	|	-8.192372
