Frequency (Hz)	|	Gain (dB)
________________________________________
0.000000	|	-0.260297
1.000000	|	-0.262413
2.000000	|	-0.264529
3.000000	|	-0.313370
4.000000	|	-0.829882
5.000000	|	-1.066356
6.000000	|	-1.509166
7.000000	|	-1.777040
8.000000	|	-2.347719
9.000000	|	-2.737787
10.000000	|	-3.086549
11.000000	|	-3.426253
12.000000	|	-3.867161
13.000000	|	-4.101339
14.000000	|	-4.409470
15.000000	|	-4.783928
16.000000	|	-4.966289
17.000000	|	-5.208149
18.000000	|	-5.362880
19.000000	|	-5.735490
20.000000	|	-6.091568
21.000000	|	-6.154992
22.000000	|	-6.409709
23.000000	|	-6.617618
24.000000	|	-6.737068
25.000000	|	-6.968113
26.000000	|	-7.114068
27.000000	|	-7.359625
28.000000	|	-7.443684
29.000000	|	-7.679260
30.000000	|	-7.736322
31.000000	|	-7.793384
32.000000	|	-8.055006
33.000000	|	-8.090905
34.000000	|	-8.345300
35.000000	|	-8.363734
36.000000	|	-8.525775
37.000000	|	-8.583607
38.000000	|	-8.638590
39.000000	|	-8.862840
40.000000	|	-8.910240
41.000000	|	-9.114738
42.000000	|	-9.129098
43.000000	|	-9.143459
44.000000	|	-9.333728
45.000000	|	-9.452866
46.000000	|	-9.559798
47.000000	|	-9.619459
48.000000	|	-9.679120
49.000000	|	-9.763154
50.000000	|	-9.847189
51.000000	|	-9.959563
52.000000	|	-10.026018
53.000000	|	-10.092472
54.000000	|	-10.095637
55.000000	|	-10.306058
56.000000	|	-10.389879
57.000000	|	-10.417671
58.000000	|	-10.421782
59.000000	|	-10.552325
60.000000	|	-10.605934
61.000000	|	-10.659543
62.000000	|	-10.821809
63.000000	|	-10.897997
64.000000	|	-10.974184
65.000000	|	-11.026734
66.000000	|	-11.079283
67.000000	|	-11.132536
68.000000	|	-11.185789
69.000000	|	-11.280670
70.000000	|	-11.385047
71.000000	|	-11.393606
72.000000	|	-11.402165
73.000000	|	-11.526710
74.000000	|	-11.556489
75.000000	|	-11.586269
76.000000	|	-11.633075
77.000000	|	-11.679881
78.000000	|	-11.712155
79.000000	|	-11.843754
80.000000	|	-11.920459
81.000000	|	-11.997165
82.000000	|	-12.024836
83.000000	|	-12.090810
84.000000	|	-12.100303
85.000000	|	-12.109796
86.000000	|	-12.265669
87.000000	|	-12.318246
88.000000	|	-12.370823
89.000000	|	-12.410618
90.000000	|	-12.450412
91.000000	|	-12.513986
92.000000	|	-12.577560
93.000000	|	-12.586443
