Frequency (Hz)	|	Gain (dB)
________________________________________
0.000000	|	-28.312315
1.000000	|	-27.814393
2.000000	|	-27.316471
3.000000	|	-26.820923
4.000000	|	-25.454753
5.000000	|	-25.222518
6.000000	|	-24.941729
7.000000	|	-23.422434
8.000000	|	-23.125440
9.000000	|	-22.828446
10.000000	|	-22.065978
11.000000	|	-21.264681
12.000000	|	-20.686435
13.000000	|	-19.507101
14.000000	|	-18.075800
15.000000	|	-17.464623
16.000000	|	-17.184392
17.000000	|	-16.904160
18.000000	|	-16.635479
19.000000	|	-16.366798
20.000000	|	-15.806032
21.000000	|	-14.492610
22.000000	|	-13.467720
23.000000	|	-12.442830
24.000000	|	-11.495938
25.000000	|	-9.433790
26.000000	|	-9.203193
27.000000	|	-9.164697
28.000000	|	-9.126202
29.000000	|	-7.343706
30.000000	|	-6.482581
31.000000	|	-5.621456
32.000000	|	-5.609504
33.000000	|	-5.597552
34.000000	|	-5.471041
35.000000	|	-5.409217
36.000000	|	-5.397379
37.000000	|	-5.391966
38.000000	|	-5.386553
39.000000	|	-5.385915
40.000000	|	-5.385277
41.000000	|	-5.380820
42.000000	|	-5.355092
43.000000	|	-5.043314
44.000000	|	-4.406459
45.000000	|	-3.791719
46.000000	|	-3.511988
47.000000	|	-3.232258
48.000000	|	-3.191261
49.000000	|	-3.150265
50.000000	|	-3.028267
51.000000	|	-3.017614
52.000000	|	-3.006961
53.000000	|	-2.943105
54.000000	|	-2.911180
55.000000	|	-2.910182
56.000000	|	-2.909933
57.000000	|	-2.909808
58.000000	|	-2.909746
59.000000	|	-2.909746
60.000000	|	-2.909746
61.000000	|	-2.909746
62.000000	|	-2.909746
63.000000	|	-2.909746
64.000000	|	-2.909746
65.000000	|	-2.909746
66.000000	|	-2.909746
67.000000	|	-2.910362
68.000000	|	-2.931480
69.000000	|	-2.974100
70.000000	|	-3.059722
71.000000	|	-3.665752
72.000000	|	-3.934721
73.000000	|	-4.203689
74.000000	|	-4.222368
75.000000	|	-4.230241
76.000000	|	-4.233511
77.000000	|	-4.234963
78.000000	|	-4.236415
79.000000	|	-4.252517
80.000000	|	-4.268619
81.000000	|	-4.374923
82.000000	|	-4.667532
83.000000	|	-4.736146
84.000000	|	-4.749912
85.000000	|	-4.752421
86.000000	|	-4.752893
87.000000	|	-4.753077
88.000000	|	-4.753261
89.000000	|	-4.755247
90.000000	|	-4.757232
91.000000	|	-4.761602
92.000000	|	-4.991444
93.000000	|	-5.423073
94.000000	|	-5.425085
95.000000	|	-5.426086
96.000000	|	-5.426542
97.000000	|	-5.426999
98.000000	|	-5.427227
99.000000	|	-5.427455
100.000000	|	-5.428118
101.000000	|	-5.430367
102.000000	|	-5.442200
103.000000	|	-5.448117
104.000000	|	-5.471861
105.000000	|	-5.661933
106.000000	|	-5.756969
107.000000	|	-6.137118
108.000000	|	-6.517267
109.000000	|	-7.247658
110.000000	|	-7.611889
111.000000	|	-7.793521
112.000000	|	-7.798553
113.000000	|	-7.800872
114.000000	|	-7.803191
115.000000	|	-7.803505
116.000000	|	-7.804132
117.000000	|	-7.804445
118.000000	|	-7.811290
119.000000	|	-7.848782
120.000000	|	-7.867528
121.000000	|	-7.945348
122.000000	|	-8.023561
123.000000	|	-8.337117
124.000000	|	-8.623126
125.000000	|	-8.694471
126.000000	|	-8.728514
127.000000	|	-8.729405
128.000000	|	-8.730277
129.000000	|	-8.730370
130.000000	|	-8.730461
131.000000	|	-8.730553
132.000000	|	-8.731135
133.000000	|	-8.731718
134.000000	|	-8.734052
135.000000	|	-8.735219
136.000000	|	-8.739931
137.000000	|	-8.778524
138.000000	|	-8.817260
139.000000	|	-9.024325
140.000000	|	-9.091464
141.000000	|	-9.106838
142.000000	|	-9.122212
143.000000	|	-9.787415
144.000000	|	-9.949983
145.000000	|	-10.111807
146.000000	|	-10.121713
147.000000	|	-10.141526
148.000000	|	-10.143901
149.000000	|	-10.144174
150.000000	|	-10.144223
151.000000	|	-10.144270
152.000000	|	-10.144316
153.000000	|	-10.144466
154.000000	|	-10.144615
155.000000	|	-10.145223
156.000000	|	-10.145527
157.000000	|	-10.146783
158.000000	|	-10.148045
159.000000	|	-10.153494
160.000000	|	-10.158993
161.000000	|	-10.181235
162.000000	|	-10.203518
163.000000	|	-10.292810
164.000000	|	-10.382127
165.000000	|	-10.739686
166.000000	|	-11.153233
167.000000	|	-11.161221
168.000000	|	-11.177198
169.000000	|	-11.179190
170.000000	|	-11.183174
171.000000	|	-11.183658
172.000000	|	-11.184626
173.000000	|	-11.184706
174.000000	|	-11.184868
175.000000	|	-11.184881
176.000000	|	-11.184908
177.000000	|	-11.184921
178.000000	|	-11.184928
179.000000	|	-11.184934
180.000000	|	-11.185027
181.000000	|	-11.186531
182.000000	|	-11.187282
183.000000	|	-11.190290
184.000000	|	-11.214359
185.000000	|	-11.407177
186.000000	|	-11.848594
187.000000	|	-11.950218
188.000000	|	-11.984445
189.000000	|	-11.993266
190.000000	|	-12.002088
191.000000	|	-12.006484
192.000000	|	-12.007033
193.000000	|	-12.008131
194.000000	|	-12.008267
195.000000	|	-12.008331
196.000000	|	-12.008363
197.000000	|	-12.008395
198.000000	|	-12.008395
199.000000	|	-12.008395
200.000000	|	-12.008395
201.000000	|	-12.008396
202.000000	|	-12.008397
203.000000	|	-12.008400
204.000000	|	-12.008432
205.000000	|	-12.009518
206.000000	|	-12.044851
207.000000	|	-12.062517
208.000000	|	-12.108726
209.000000	|	-12.113464
210.000000	|	-12.115032
211.000000	|	-12.116083
212.000000	|	-12.117133
213.000000	|	-12.121743
214.000000	|	-12.126354
215.000000	|	-12.136610
216.000000	|	-12.318187
217.000000	|	-13.069083
218.000000	|	-14.191726
219.000000	|	-14.267651
220.000000	|	-14.305614
221.000000	|	-14.324595
222.000000	|	-14.334086
223.000000	|	-14.336457
224.000000	|	-14.336531
225.000000	|	-14.336604
226.000000	|	-14.336641
227.000000	|	-14.336660
228.000000	|	-14.336662
229.000000	|	-14.336662
230.000000	|	-14.336663
231.000000	|	-14.336663
232.000000	|	-14.336663
233.000000	|	-14.336663
234.000000	|	-14.336663
235.000000	|	-14.336663
236.000000	|	-14.336663
237.000000	|	-14.336663
238.000000	|	-14.336663
239.000000	|	-14.336663
240.000000	|	-14.336663
241.000000	|	-14.336663
242.000000	|	-14.336667
243.000000	|	-14.336699
244.000000	|	-14.337220
245.000000	|	-14.339305
246.000000	|	-14.343475
247.000000	|	-14.360156
248.000000	|	-14.390956
249.000000	|	-14.390971
250.000000	|	-14.390971
251.000000	|	-14.390971
252.000000	|	-14.390971
253.000000	|	-14.390971
254.000000	|	-14.390971
255.000000	|	-14.390971
256.000000	|	-14.390971
257.000000	|	-14.390971
258.000000	|	-14.390971
259.000000	|	-14.390970
260.000000	|	-14.390876
261.000000	|	-14.390120
262.000000	|	-14.378030
263.000000	|	-14.280957
264.000000	|	-14.232092
265.000000	|	-14.219876
266.000000	|	-14.213769
267.000000	|	-14.212242
268.000000	|	-14.211478
269.000000	|	-14.211431
270.000000	|	-14.211429
271.000000	|	-14.211429
272.000000	|	-14.211429
273.000000	|	-14.211429
274.000000	|	-14.211429
275.000000	|	-14.211429
276.000000	|	-14.211429
277.000000	|	-14.211429
278.000000	|	-14.211429
279.000000	|	-14.211429
280.000000	|	-14.211429
281.000000	|	-14.211429
282.000000	|	-14.211429
283.000000	|	-14.211429
284.000000	|	-14.211429
285.000000	|	-14.211429
286.000000	|	-14.211429
287.000000	|	-14.211429
288.000000	|	-14.211429
289.000000	|	-14.211429
290.000000	|	-14.211428
291.000000	|	-14.211426
292.000000	|	-14.211258
293.000000	|	-14.209915
294.000000	|	-14.209244
295.000000	|	-14.187677
296.000000	|	-14.101381
297.000000	|	-14.058233
298.000000	|	-13.885633
299.000000	|	-13.704961
300.000000	|	-13.702178
301.000000	|	-13.701519
302.000000	|	-13.701193
303.000000	|	-13.701164
304.000000	|	-13.701107
305.000000	|	-13.701078
306.000000	|	-13.701066
307.000000	|	-13.701041
308.000000	|	-13.701029
309.000000	|	-13.700596
310.000000	|	-13.700306
311.000000	|	-13.699725
312.000000	|	-13.699653
313.000000	|	-13.699652
314.000000	|	-13.699652
315.000000	|	-13.699652
316.000000	|	-13.699652
317.000000	|	-13.699652
318.000000	|	-13.699652
319.000000	|	-13.699652
320.000000	|	-13.699652
321.000000	|	-13.699652
322.000000	|	-13.699660
323.000000	|	-13.703864
324.000000	|	-13.712272
325.000000	|	-13.729088
326.000000	|	-13.796350
327.000000	|	-14.334450
328.000000	|	-15.248861
329.000000	|	-16.017479
330.000000	|	-16.029406
331.000000	|	-16.035115
332.000000	|	-16.036514
333.000000	|	-16.037214
334.000000	|	-16.037215
335.000000	|	-16.037217
336.000000	|	-16.037217
337.000000	|	-16.037217
338.000000	|	-16.037217
339.000000	|	-16.037217
340.000000	|	-16.037217
341.000000	|	-16.037217
342.000000	|	-16.037217
343.000000	|	-16.037217
344.000000	|	-16.037217
345.000000	|	-16.037217
346.000000	|	-16.037184
347.000000	|	-16.036920
348.000000	|	-16.035866
349.000000	|	-16.031649
350.000000	|	-15.964166
351.000000	|	-15.896682
352.000000	|	-15.626365
353.000000	|	-15.497169
354.000000	|	-15.432570
355.000000	|	-15.432066
356.000000	|	-15.431814
357.000000	|	-15.431814
358.000000	|	-15.431814
359.000000	|	-15.431814
360.000000	|	-15.431814
361.000000	|	-15.431814
362.000000	|	-15.431814
363.000000	|	-15.431814
364.000000	|	-15.431814
365.000000	|	-15.431832
366.000000	|	-15.432988
367.000000	|	-15.437615
368.000000	|	-15.439928
369.000000	|	-15.449182
370.000000	|	-15.597237
371.000000	|	-15.671256
372.000000	|	-15.708243
373.000000	|	-15.712699
374.000000	|	-15.714577
375.000000	|	-15.714768
376.000000	|	-15.714864
377.000000	|	-15.714961
378.000000	|	-15.716266
379.000000	|	-15.717571
380.000000	|	-15.717746
381.000000	|	-15.717790
382.000000	|	-15.717790
383.000000	|	-15.717790
384.000000	|	-15.717790
385.000000	|	-15.717790
386.000000	|	-15.717790
387.000000	|	-15.717790
388.000000	|	-15.717790
389.000000	|	-15.717790
390.000000	|	-15.717790
391.000000	|	-15.717790
392.000000	|	-15.717789
393.000000	|	-15.717788
394.000000	|	-15.708407
395.000000	|	-15.670884
396.000000	|	-15.652122
397.000000	|	-15.577075
398.000000	|	-15.426968
399.000000	|	-15.126754
400.000000	|	-15.089227
401.000000	|	-15.051700
402.000000	|	-15.032937
403.000000	|	-15.023555
404.000000	|	-15.021210
405.000000	|	-15.020917
406.000000	|	-15.020331
407.000000	|	-15.020257
408.000000	|	-15.020221
409.000000	|	-15.020148
410.000000	|	-15.020145
411.000000	|	-15.020143
412.000000	|	-15.020143
413.000000	|	-15.020143
414.000000	|	-15.020143
415.000000	|	-15.020143
416.000000	|	-15.020143
417.000000	|	-15.020143
418.000000	|	-15.020143
419.000000	|	-15.020143
420.000000	|	-15.020143
421.000000	|	-15.020143
422.000000	|	-15.020143
423.000000	|	-15.020143
424.000000	|	-15.020143
425.000000	|	-15.020143
426.000000	|	-15.020145
427.000000	|	-15.020146
428.000000	|	-15.020153
429.000000	|	-15.020160
430.000000	|	-15.020187
431.000000	|	-15.020215
432.000000	|	-15.020326
433.000000	|	-15.021214
434.000000	|	-15.476209
435.000000	|	-16.133593
436.000000	|	-16.462286
437.000000	|	-16.626632
438.000000	|	-16.629200
439.000000	|	-16.629210
440.000000	|	-16.629230
441.000000	|	-16.629230
442.000000	|	-16.629230
443.000000	|	-16.629230
444.000000	|	-16.629230
445.000000	|	-16.629230
446.000000	|	-16.629230
447.000000	|	-16.629230
448.000000	|	-16.629230
449.000000	|	-16.629229
450.000000	|	-16.629221
451.000000	|	-16.629190
