Frequency (Hz)	|	Gain (dB)
________________________________________
0.000000	|	-118.426824
1.000000	|	-118.112359
2.000000	|	-117.555173
3.000000	|	-116.808053
4.000000	|	-115.889144
5.000000	|	-114.855231
6.000000	|	-113.693178
7.000000	|	-112.365702
8.000000	|	-110.883894
9.000000	|	-109.239360
10.000000	|	-107.163721
11.000000	|	-102.334911
12.000000	|	-92.124120
13.000000	|	-80.310803
14.000000	|	-69.297705
15.000000	|	-58.566050
16.000000	|	-48.784552
17.000000	|	-39.807180
18.000000	|	-31.646320
19.000000	|	-25.126512
20.000000	|	-20.643340
21.000000	|	-17.652600
22.000000	|	-15.884357
23.000000	|	-14.639247
24.000000	|	-13.580095
25.000000	|	-12.807760
26.000000	|	-11.979259
27.000000	|	-11.395108
28.000000	|	-10.676362
29.000000	|	-10.182842
30.000000	|	-9.621783
31.000000	|	-8.959000
32.000000	|	-8.610546
33.000000	|	-8.061577
34.000000	|	-7.740092
35.000000	|	-7.221124
36.000000	|	-6.865542
37.000000	|	-6.378645
38.000000	|	-5.949273
39.000000	|	-5.674437
40.000000	|	-5.263664
41.000000	|	-5.008969
42.000000	|	-4.677153
43.000000	|	-4.218501
44.000000	|	-4.018482
45.000000	|	-3.756544
46.000000	|	-3.501749
47.000000	|	-3.361630
48.000000	|	-2.962802
49.000000	|	-2.857843
50.000000	|	-2.517608
51.000000	|	-2.341609
52.000000	|	-2.242065
53.000000	|	-1.950626
54.000000	|	-1.687018
55.000000	|	-1.658104
56.000000	|	-1.513804
57.000000	|	-1.319769
58.000000	|	-1.098137
59.000000	|	-1.025551
60.000000	|	-0.939919
61.000000	|	-0.801689
62.000000	|	-0.765065
63.000000	|	-0.728442
64.000000	|	-0.597464
65.000000	|	-0.485552
66.000000	|	-0.414747
67.000000	|	-0.343942
68.000000	|	-0.334271
69.000000	|	-0.333062
70.000000	|	-0.332760
71.000000	|	-0.332758
72.000000	|	-0.332758
73.000000	|	-0.332758
74.000000	|	-0.332758
75.000000	|	-0.332758
76.000000	|	-0.332758
77.000000	|	-0.332758
78.000000	|	-0.332758
79.000000	|	-0.332758
80.000000	|	-0.332759
81.000000	|	-0.332759
82.000000	|	-0.332898
83.000000	|	-0.368642
84.000000	|	-0.391106
85.000000	|	-0.413571
86.000000	|	-0.585859
87.000000	|	-0.713042
88.000000	|	-0.745268
89.000000	|	-0.869789
90.000000	|	-0.882006
91.000000	|	-0.894223
92.000000	|	-1.080452
93.000000	|	-1.161072
94.000000	|	-1.179938
95.000000	|	-1.210290
96.000000	|	-1.275925
97.000000	|	-1.460033
98.000000	|	-1.531191
99.000000	|	-1.602349
100.000000	|	-1.673552
101.000000	|	-1.912545
102.000000	|	-2.010879
103.000000	|	-2.087443
104.000000	|	-2.119851
105.000000	|	-2.133117
106.000000	|	-2.146384
107.000000	|	-2.265043
108.000000	|	-2.433842
109.000000	|	-2.497582
110.000000	|	-2.591123
111.000000	|	-2.611191
112.000000	|	-2.651326
113.000000	|	-2.671394
114.000000	|	-2.767201
115.000000	|	-2.863008
116.000000	|	-2.968570
117.000000	|	-2.976056
118.000000	|	-3.146518
119.000000	|	-3.190481
120.000000	|	-3.234443
121.000000	|	-3.331465
122.000000	|	-3.380877
123.000000	|	-3.457837
124.000000	|	-3.486183
125.000000	|	-3.574933
126.000000	|	-3.674101
127.000000	|	-3.787070
128.000000	|	-3.828289
129.000000	|	-3.869507
130.000000	|	-3.888453
131.000000	|	-3.907400
132.000000	|	-4.085949
133.000000	|	-4.169704
134.000000	|	-4.313629
135.000000	|	-4.467727
136.000000	|	-4.476166
137.000000	|	-4.514295
138.000000	|	-4.552949
139.000000	|	-4.630258
140.000000	|	-4.668912
141.000000	|	-4.706523
142.000000	|	-4.812859
143.000000	|	-4.874616
144.000000	|	-4.936373
145.000000	|	-5.089356
146.000000	|	-5.118503
147.000000	|	-5.192944
148.000000	|	-5.328771
149.000000	|	-5.332927
150.000000	|	-5.415310
151.000000	|	-5.506447
152.000000	|	-5.506610
153.000000	|	-5.506937
154.000000	|	-5.507101
155.000000	|	-5.691985
156.000000	|	-5.695818
157.000000	|	-5.699652
158.000000	|	-5.713726
159.000000	|	-5.741876
160.000000	|	-5.755950
161.000000	|	-5.891627
162.000000	|	-5.929373
163.000000	|	-5.946512
164.000000	|	-5.963651
165.000000	|	-6.104735
166.000000	|	-6.199639
167.000000	|	-6.211118
168.000000	|	-6.234076
169.000000	|	-6.245555
170.000000	|	-6.351910
171.000000	|	-6.384938
172.000000	|	-6.417966
173.000000	|	-6.469816
174.000000	|	-6.539971
175.000000	|	-6.544766
176.000000	|	-6.549562
177.000000	|	-6.628091
178.000000	|	-6.732235
179.000000	|	-6.747446
180.000000	|	-6.869112
181.000000	|	-6.870848
182.000000	|	-6.872584
183.000000	|	-6.932920
184.000000	|	-7.001678
185.000000	|	-7.044480
186.000000	|	-7.049870
187.000000	|	-7.055260
188.000000	|	-7.071496
189.000000	|	-7.087732
190.000000	|	-7.164843
191.000000	|	-7.241955
192.000000	|	-7.350610
193.000000	|	-7.439102
194.000000	|	-7.441759
195.000000	|	-7.489286
196.000000	|	-7.598176
197.000000	|	-7.611352
198.000000	|	-7.621443
199.000000	|	-7.631533
200.000000	|	-7.645046
201.000000	|	-7.658558
202.000000	|	-7.691753
203.000000	|	-7.758703
204.000000	|	-7.825652
205.000000	|	-7.861094
206.000000	|	-7.874411
207.000000	|	-7.878868
208.000000	|	-7.883325
209.000000	|	-7.921260
210.000000	|	-7.938565
211.000000	|	-7.955870
212.000000	|	-8.105683
213.000000	|	-8.147243
214.000000	|	-8.168966
215.000000	|	-8.198991
216.000000	|	-8.204990
217.000000	|	-8.216386
218.000000	|	-8.239178
219.000000	|	-8.250574
220.000000	|	-8.362233
221.000000	|	-8.375920
222.000000	|	-8.403292
223.000000	|	-8.416979
224.000000	|	-8.478964
225.000000	|	-8.491249
226.000000	|	-8.515820
227.000000	|	-8.528105
228.000000	|	-8.615270
229.000000	|	-8.668793
230.000000	|	-8.680555
231.000000	|	-8.692317
232.000000	|	-8.768487
233.000000	|	-8.844658
234.000000	|	-8.873950
235.000000	|	-8.879977
236.000000	|	-8.892032
237.000000	|	-8.898060
238.000000	|	-8.928665
239.000000	|	-8.959270
240.000000	|	-8.973045
241.000000	|	-8.986820
242.000000	|	-9.031055
243.000000	|	-9.075290
244.000000	|	-9.114035
245.000000	|	-9.191526
246.000000	|	-9.194302
247.000000	|	-9.197078
248.000000	|	-9.241330
249.000000	|	-9.285582
250.000000	|	-9.401866
251.000000	|	-9.403182
252.000000	|	-9.405815
253.000000	|	-9.407132
254.000000	|	-9.442268
255.000000	|	-9.477404
256.000000	|	-9.519247
257.000000	|	-9.519947
258.000000	|	-9.555376
