Frequency (Hz)	|	Gain (dB)
________________________________________
0.000000	|	-28.312315
1.000000	|	-26.901165
2.000000	|	-27.316471
3.000000	|	-26.820923
4.000000	|	-25.454753
5.000000	|	-25.222518
6.000000	|	-24.941729
7.000000	|	-23.422434
8.000000	|	-22.615758
9.000000	|	-22.828446
10.000000	|	-22.065978
11.000000	|	-21.264681
12.000000	|	-20.686435
13.000000	|	-19.507101
14.000000	|	-18.075800
15.000000	|	-16.381399
16.000000	|	-16.853445
17.000000	|	-16.841621
18.000000	|	-16.954876
19.000000	|	-16.366798
20.000000	|	-15.806032
21.000000	|	-14.492610
22.000000	|	-11.846797
23.000000	|	-12.442830
24.000000	|	-11.495938
25.000000	|	-9.433790
26.000000	|	-9.203193
27.000000	|	-8.723373
28.000000	|	-9.126202
29.000000	|	-5.356570
30.000000	|	-3.906476
31.000000	|	-5.187008
32.000000	|	-6.259914
33.000000	|	-5.597552
34.000000	|	-5.060289
35.000000	|	-4.498072
36.000000	|	-4.419171
37.000000	|	-4.818411
38.000000	|	-6.098655
39.000000	|	-5.726389
40.000000	|	-5.877216
41.000000	|	-7.052217
42.000000	|	-7.005347
43.000000	|	-5.693464
44.000000	|	-3.061932
45.000000	|	-2.167898
46.000000	|	-1.775267
47.000000	|	-3.424812
48.000000	|	-4.060031
49.000000	|	-3.677589
50.000000	|	-2.749329
51.000000	|	-2.906269
52.000000	|	-3.006961
53.000000	|	-1.217136
54.000000	|	-0.934267
55.000000	|	-2.215319
56.000000	|	-2.968429
57.000000	|	-3.402400
58.000000	|	-2.467914
59.000000	|	-0.867280
60.000000	|	0.000000
61.000000	|	-2.882477
62.000000	|	-3.229229
63.000000	|	-3.285710
64.000000	|	-3.247019
65.000000	|	-3.127400
66.000000	|	-1.860813
67.000000	|	-0.568095
68.000000	|	-2.442267
69.000000	|	-4.541942
70.000000	|	-4.029905
71.000000	|	-2.883358
72.000000	|	-4.271783
73.000000	|	-4.485001
74.000000	|	-4.453582
75.000000	|	-3.908508
76.000000	|	-4.432949
77.000000	|	-5.051150
78.000000	|	-5.317059
79.000000	|	-3.355809
80.000000	|	-2.651227
81.000000	|	-3.706759
82.000000	|	-4.962775
83.000000	|	-5.177384
84.000000	|	-5.139883
85.000000	|	-5.798706
86.000000	|	-5.753041
87.000000	|	-5.405155
88.000000	|	-4.151808
89.000000	|	-1.463876
90.000000	|	-0.925317
91.000000	|	-2.909246
92.000000	|	-4.991444
93.000000	|	-5.423073
94.000000	|	-5.805360
95.000000	|	-5.455903
96.000000	|	-5.978262
97.000000	|	-6.660429
98.000000	|	-6.358154
99.000000	|	-6.239284
100.000000	|	-4.647994
101.000000	|	-2.816249
102.000000	|	-4.335317
103.000000	|	-5.129976
104.000000	|	-6.319842
105.000000	|	-6.202928
106.000000	|	-4.952234
107.000000	|	-4.771221
108.000000	|	-6.517267
109.000000	|	-7.979015
110.000000	|	-8.438692
111.000000	|	-8.092526
112.000000	|	-7.975154
113.000000	|	-8.174515
114.000000	|	-8.362319
115.000000	|	-8.418053
116.000000	|	-8.667855
117.000000	|	-8.496027
118.000000	|	-7.520648
119.000000	|	-4.954346
120.000000	|	-4.041978
121.000000	|	-5.242441
122.000000	|	-7.709770
123.000000	|	-8.992128
124.000000	|	-9.885172
125.000000	|	-9.645718
126.000000	|	-8.881471
127.000000	|	-8.727134
128.000000	|	-9.736291
129.000000	|	-9.885954
130.000000	|	-9.724688
131.000000	|	-8.732462
132.000000	|	-8.021438
133.000000	|	-6.686805
134.000000	|	-4.720445
135.000000	|	-5.390683
136.000000	|	-7.295118
137.000000	|	-8.505081
138.000000	|	-8.817260
139.000000	|	-9.267782
140.000000	|	-9.733979
141.000000	|	-9.646413
142.000000	|	-9.939201
143.000000	|	-8.598010
144.000000	|	-10.452618
145.000000	|	-11.026395
146.000000	|	-11.160780
147.000000	|	-11.078628
148.000000	|	-11.044818
149.000000	|	-9.901558
150.000000	|	-8.098098
151.000000	|	-7.659341
152.000000	|	-8.149241
153.000000	|	-10.573228
154.000000	|	-10.893252
155.000000	|	-11.119752
156.000000	|	-11.329958
157.000000	|	-10.758378
158.000000	|	-8.827765
159.000000	|	-7.055499
160.000000	|	-5.799753
161.000000	|	-6.482383
162.000000	|	-8.962331
163.000000	|	-10.024567
164.000000	|	-11.385716
165.000000	|	-10.739686
166.000000	|	-11.645657
167.000000	|	-11.976018
168.000000	|	-11.991823
169.000000	|	-11.330148
170.000000	|	-11.652562
171.000000	|	-12.432821
172.000000	|	-13.188333
173.000000	|	-13.435293
174.000000	|	-12.352398
175.000000	|	-11.902812
176.000000	|	-10.948748
177.000000	|	-9.845371
178.000000	|	-8.187933
179.000000	|	-6.203302
180.000000	|	-4.888515
181.000000	|	-6.013732
182.000000	|	-7.823747
183.000000	|	-9.423209
184.000000	|	-11.021482
185.000000	|	-11.407177
186.000000	|	-12.290888
187.000000	|	-12.307851
188.000000	|	-12.415259
189.000000	|	-12.287380
190.000000	|	-10.656635
191.000000	|	-10.182773
192.000000	|	-11.146212
193.000000	|	-12.568170
194.000000	|	-13.612627
195.000000	|	-13.637827
196.000000	|	-13.631748
197.000000	|	-13.117048
198.000000	|	-12.268007
199.000000	|	-11.828492
200.000000	|	-10.140004
201.000000	|	-8.041085
202.000000	|	-6.213692
203.000000	|	-7.177135
204.000000	|	-9.833076
205.000000	|	-11.429735
206.000000	|	-11.921118
207.000000	|	-12.593386
208.000000	|	-13.223213
209.000000	|	-12.652191
210.000000	|	-13.304938
211.000000	|	-12.609224
212.000000	|	-11.646837
213.000000	|	-10.010096
214.000000	|	-8.273982
215.000000	|	-9.395840
216.000000	|	-11.561865
217.000000	|	-13.069083
218.000000	|	-14.191726
219.000000	|	-14.923847
220.000000	|	-14.799130
221.000000	|	-15.577388
222.000000	|	-15.578295
223.000000	|	-15.022912
224.000000	|	-14.723863
225.000000	|	-13.955794
226.000000	|	-13.029447
227.000000	|	-12.637260
228.000000	|	-13.517239
229.000000	|	-15.015811
230.000000	|	-15.242487
231.000000	|	-15.664863
232.000000	|	-15.743330
233.000000	|	-15.635363
234.000000	|	-14.916045
235.000000	|	-13.399315
236.000000	|	-12.798575
237.000000	|	-11.256650
238.000000	|	-9.684935
239.000000	|	-7.439768
240.000000	|	-5.223918
241.000000	|	-5.527206
242.000000	|	-7.431644
243.000000	|	-10.319679
244.000000	|	-11.907470
245.000000	|	-13.379818
246.000000	|	-14.093264
247.000000	|	-14.635054
248.000000	|	-15.116970
249.000000	|	-15.694912
250.000000	|	-15.471847
251.000000	|	-14.903252
252.000000	|	-15.048180
253.000000	|	-13.765792
254.000000	|	-12.949854
255.000000	|	-13.101942
256.000000	|	-14.193846
257.000000	|	-14.873840
258.000000	|	-15.936819
259.000000	|	-16.028193
260.000000	|	-16.612181
261.000000	|	-16.400380
262.000000	|	-15.836685
263.000000	|	-15.458194
264.000000	|	-13.890032
265.000000	|	-12.849438
266.000000	|	-11.852082
267.000000	|	-10.368722
268.000000	|	-7.777627
269.000000	|	-5.099839
270.000000	|	-5.456609
271.000000	|	-6.477387
272.000000	|	-8.275070
273.000000	|	-10.212830
274.000000	|	-11.792723
275.000000	|	-13.572567
276.000000	|	-14.845365
277.000000	|	-15.490675
278.000000	|	-15.339594
279.000000	|	-14.774918
280.000000	|	-14.725142
281.000000	|	-14.974160
282.000000	|	-14.764482
283.000000	|	-13.889624
284.000000	|	-12.473258
285.000000	|	-10.242038
286.000000	|	-8.825204
287.000000	|	-10.500613
288.000000	|	-12.402462
289.000000	|	-14.476444
290.000000	|	-15.233131
291.000000	|	-15.763438
292.000000	|	-16.177926
293.000000	|	-16.313979
294.000000	|	-15.747320
295.000000	|	-15.966544
296.000000	|	-14.701446
297.000000	|	-14.576049
298.000000	|	-13.885633
299.000000	|	-12.439558
300.000000	|	-10.998418
301.000000	|	-9.654687
302.000000	|	-8.376475
303.000000	|	-7.599385
304.000000	|	-9.052516
305.000000	|	-10.750417
306.000000	|	-12.368307
307.000000	|	-13.750681
308.000000	|	-14.504767
309.000000	|	-14.759376
310.000000	|	-15.538506
311.000000	|	-15.968454
312.000000	|	-15.690195
313.000000	|	-15.283194
314.000000	|	-14.665454
315.000000	|	-14.343549
316.000000	|	-13.109230
317.000000	|	-12.350907
318.000000	|	-10.813937
319.000000	|	-8.933507
320.000000	|	-6.272340
321.000000	|	-5.264470
322.000000	|	-6.993764
323.000000	|	-8.449840
324.000000	|	-10.466943
325.000000	|	-11.785161
326.000000	|	-13.258250
327.000000	|	-14.334450
328.000000	|	-15.248861
329.000000	|	-16.017479
330.000000	|	-16.422793
331.000000	|	-17.195982
332.000000	|	-17.308400
333.000000	|	-17.171754
334.000000	|	-16.740158
335.000000	|	-16.656299
336.000000	|	-15.856474
337.000000	|	-15.249522
338.000000	|	-14.517912
339.000000	|	-14.567964
340.000000	|	-14.268639
341.000000	|	-14.590441
342.000000	|	-15.546959
343.000000	|	-16.795863
344.000000	|	-17.288618
345.000000	|	-17.263109
346.000000	|	-18.048760
347.000000	|	-18.050198
348.000000	|	-18.417650
349.000000	|	-18.087015
350.000000	|	-17.491322
351.000000	|	-16.707996
352.000000	|	-15.626365
353.000000	|	-15.109579
354.000000	|	-14.059314
355.000000	|	-13.400250
356.000000	|	-11.973546
357.000000	|	-10.626491
358.000000	|	-9.247364
359.000000	|	-7.510898
360.000000	|	-5.115859
361.000000	|	-5.867100
362.000000	|	-7.019554
363.000000	|	-7.974133
364.000000	|	-9.626323
365.000000	|	-11.364374
366.000000	|	-13.148096
367.000000	|	-14.560844
368.000000	|	-15.745298
369.000000	|	-16.562227
370.000000	|	-17.107598
371.000000	|	-16.706334
372.000000	|	-17.066917
373.000000	|	-17.290883
374.000000	|	-17.007872
375.000000	|	-16.793525
376.000000	|	-16.492571
377.000000	|	-15.924951
378.000000	|	-15.003090
379.000000	|	-13.842146
380.000000	|	-12.631785
381.000000	|	-11.246002
382.000000	|	-11.067863
383.000000	|	-12.172466
384.000000	|	-13.061180
385.000000	|	-14.438979
386.000000	|	-15.473086
387.000000	|	-16.207682
388.000000	|	-16.639322
389.000000	|	-17.127996
390.000000	|	-17.983714
391.000000	|	-17.895454
392.000000	|	-18.139673
393.000000	|	-17.942771
394.000000	|	-17.697335
395.000000	|	-16.217841
396.000000	|	-16.603097
397.000000	|	-16.177512
398.000000	|	-14.976647
399.000000	|	-13.995699
400.000000	|	-12.849147
401.000000	|	-11.979741
402.000000	|	-9.733555
403.000000	|	-7.928290
404.000000	|	-6.515088
405.000000	|	-6.809926
406.000000	|	-8.359969
407.000000	|	-10.282359
408.000000	|	-11.754670
409.000000	|	-13.358156
410.000000	|	-14.499862
411.000000	|	-15.308988
412.000000	|	-15.911572
413.000000	|	-16.769147
414.000000	|	-17.110148
415.000000	|	-17.478694
416.000000	|	-17.697503
417.000000	|	-17.718066
418.000000	|	-16.977173
419.000000	|	-16.573182
420.000000	|	-16.196200
421.000000	|	-15.545975
422.000000	|	-15.024443
423.000000	|	-14.457657
424.000000	|	-14.395060
425.000000	|	-14.481634
426.000000	|	-13.002941
427.000000	|	-11.333591
428.000000	|	-9.514436
429.000000	|	-8.940674
430.000000	|	-9.390166
431.000000	|	-10.134872
432.000000	|	-12.226750
433.000000	|	-13.655402
434.000000	|	-15.476209
435.000000	|	-16.790978
436.000000	|	-17.464966
437.000000	|	-17.831008
438.000000	|	-18.444229
439.000000	|	-18.348941
440.000000	|	-18.831937
441.000000	|	-18.697748
442.000000	|	-19.107369
443.000000	|	-18.631179
444.000000	|	-18.585260
445.000000	|	-18.268692
446.000000	|	-17.563507
447.000000	|	-17.261601
448.000000	|	-16.825898
449.000000	|	-16.314454
450.000000	|	-15.215674
451.000000	|	-14.103159
452.000000	|	-12.844245
